deepSourceId;scienceCcdExposureId;psfFlux;psfFluxSigma;flagBadMeasCentroid;flagPixEdge;flagPixInterpAny;flagPixInterpCen;flagPixSaturAny;flagPixSaturCen;flagBadPsfFlux;chunkId;subChunkId
3166692272243625;6471250146;19.31360054;38.270599365;0;0;0;0;0;0;0;0;746
3166692272243472;6471250146;258.83999634;38.578201294;0;0;0;0;0;0;0;0;746
3166692272245308;6471250146;194.63900757;38.440898895;0;0;0;0;0;0;0;0;746
3166692272243489;6471250146;194.62199402;38.440700531;0;0;0;0;0;0;0;0;746
3166692272243477;6471250146;-14.85280037;37.514801025;0;0;0;0;0;0;0;0;746
3166692272243493;6471250146;73.769500732;38.052398682;0;0;0;0;0;0;0;0;746
3166692272245532;6471250146;65.035797119;37.786998749;0;0;0;0;0;0;0;0;746
3166692272245472;6471250146;161.68600464;38.173900604;0;0;0;0;0;0;0;0;746
3166692272245464;6471250146;195.52600098;38.442401886;0;0;0;0;0;0;0;0;746
